year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2011	BRONX	10721	25934	EP	75824	38358	35.3	657	811	1.1	34.2	50.6	All Grades	14.1	26745
2012	BRONX	6835	1371	ELL	15743	7531	8.7	641	6	0	8.7	47.8	All Grades	43.4	1377
2012	BRONX	9756	28030	EP	75536	36813	38.3	659	937	1.2	37.1	48.7	All Grades	12.9	28967
2006	BROOKLYN	174	93	ELL	419	151	22.4	623	1	0.2	22.2	36	3	41.5	94
2006	BROOKLYN	2168	10892	EP	19390	5220	61.9	662	1110	5.7	56.2	26.9	3	11.2	12002
2007	BROOKLYN	750	920	ELL	3008	1315	31.3	633	23	0.8	30.6	43.7	3	24.9	943
2007	BROOKLYN	2183	10307	EP	19453	5579	60.1	659	1384	7.1	53	28.7	3	11.2	11691
2008	BROOKLYN	596	944	ELL	3084	1518	31.5	637	26	0.8	30.6	49.2	3	19.3	970
2008	BROOKLYN	1321	10178	EP	18460	5267	64.3	663	1694	9.2	55.1	28.5	3	7.2	11872
2009	BROOKLYN	412	1480	ELL	3103	1155	49.5	647	56	1.8	47.7	37.2	3	13.3	1536
2009	BROOKLYN	937	11642	EP	18319	4024	72.9	667	1716	9.4	63.6	22	3	5.1	13358
2010	BROOKLYN	1055	665	ELL	3124	1276	25.4	650	128	4.1	21.3	40.8	3	33.8	793
2010	BROOKLYN	2912	6547	EP	18336	6196	50.3	666	2681	14.6	35.7	33.8	3	15.9	9228
2011	BROOKLYN	1085	709	ELL	3161	1359	22.7	647	8	0.3	22.4	43	3	34.3	717
2011	BROOKLYN	2459	8907	EP	18572	6531	51.6	662	675	3.6	48	35.2	3	13.2	9582
2012	BROOKLYN	1161	623	ELL	3096	1298	20.6	647	14	0.5	20.1	41.9	3	37.5	637
2012	BROOKLYN	2448	8770	EP	18684	6258	53.4	664	1208	6.5	46.9	33.5	3	13.1	9978
2006	BROOKLYN	287	108	ELL	647	251	16.8	615	1	0.2	16.7	38.8	4	44.4	109
2006	BROOKLYN	2076	10720	EP	19876	5853	60.1	658	1227	6.2	53.9	29.4	4	10.4	11947
2007	BROOKLYN	775	577	ELL	2581	1228	22.4	624	1	0	22.4	47.6	4	30	578
2007	BROOKLYN	1762	10668	EP	19413	6004	60	657	979	5	55	30.9	4	9.1	11647
2008	BROOKLYN	656	761	ELL	2598	1172	29.6	629	9	0.3	29.3	45.1	4	25.3	770
2008	BROOKLYN	1550	11371	EP	19180	4935	66.2	661	1324	6.9	59.3	25.7	4	8.1	12695
2009	BROOKLYN	436	957	ELL	2573	1178	37.3	636	2	0.1	37.2	45.8	4	16.9	959
2009	BROOKLYN	834	12546	EP	18757	4358	72.3	666	1019	5.4	66.9	23.2	4	4.4	13565
2010	BROOKLYN	764	549	ELL	2824	1503	19.7	648	8	0.3	19.4	53.2	4	27.1	557
2010	BROOKLYN	1869	8283	EP	18663	7619	49.2	669	892	4.8	44.4	40.8	4	10	9175
2011	BROOKLYN	808	534	ELL	2857	1511	18.8	645	4	0.1	18.7	52.9	4	28.3	538
2011	BROOKLYN	1369	10042	EP	18820	6879	56.2	672	530	2.8	53.4	36.6	4	7.3	10572
2012	BROOKLYN	840	572	ELL	2822	1404	20.5	646	6	0.2	20.3	49.8	4	29.8	578
2012	BROOKLYN	1401	9761	EP	18511	6445	57.6	674	904	4.9	52.7	34.8	4	7.6	10665
2006	BROOKLYN	346	176	ELL	1083	555	16.8	616	6	0.6	16.3	51.2	5	31.9	182
2006	BROOKLYN	1416	10335	EP	20582	7023	59	656	1808	8.8	50.2	34.1	5	6.9	12143
2007	BROOKLYN	455	344	ELL	1891	1089	18.4	623	3	0.2	18.2	57.6	5	24.1	347
2007	BROOKLYN	1074	11369	EP	20628	7275	59.5	659	910	4.4	55.1	35.3	5	5.2	12279
2008	BROOKLYN	235	712	ELL	2197	1246	32.6	635	4	0.2	32.4	56.7	5	10.7	716
2008	BROOKLYN	318	13320	EP	19291	4752	73.7	664	901	4.7	69	24.6	5	1.6	14221
2009	BROOKLYN	77	917	ELL	2279	1262	41.2	646	23	1	40.2	55.4	5	3.4	940
2009	BROOKLYN	109	12759	EP	18901	4007	78.2	671	2026	10.7	67.5	21.2	5	0.6	14785
